pollster_list,MAAPE
Langer Research Associates,2.6
Harris Deville Associates,3.4
Public Strategies Inc,9.3
Ethridge Associates,10
Edison Media Research,11.3
Basswood Research,11.4
Potomac Research Group,12.6
Constituent Dynamics,12.7
TargetPoint Consulting,13.9
Castleton State College,15.2
OnSight Public Affairs/Keating Research,15.4
Illinois Wesleyan University,15.4
Keating Research/Magellan Strategies Polling,15.5
Greenberg McInturff,16.5
Arkansas State University,17.3
Knowledge Networks,17.5
Indiana State University,17.7
National Republican Senatorial Committee,17.7
University of North Carolina,18.4
University of Central Arkansas,19
Research Marketing Strategies,19.3
Philadelphia Inquirer,19.7
Baselice Associates,20.2
Strategies 360,20.7
University of New Orleans,20.9
University of South Alabama,21.2
Southern Media and Opinion Research,21.8
Crosswind Media Public Relations/Pulse Opinion Research,21.9
Wick Communications,22.6
Merrimack College,22.6
Orion Strategies,24.1
Scripps Howard Foundation,24.5
HighGround/Moore Information Group,25.5
University of Maryland,26
Goucher College,26.2
Loyola University,26.4
Temple University,27
University of Arkansas,27.3
Capital Survey Research Center,28.3
Zimmerman Associates,29.6
University of Oregon,29.7
Mason Strategies,31.2
Mansfield University,31.3
Castleton University,31.7
Field Poll,31.8
University of Washington,32
Polimetrix,32.2
Landmark Communication/Rosetta Stone Communications,32.7
Texas Tech University,33.2
Harrison Hickman,33.3
Gonzales Research,33.8
Cole Hargrave Snodgrass Associates,35.1
Clarus Research Group,35.1
University of Texas,35.3
Fairleigh Dickinson University,36.2
Opinion Consultants,36.4
Global Strategy Group/National Research Inc,37.3
Belden Russonello Stewart,37.3
Bellwether Research Consulting,37.4
Dan Jones Associates,37.5
Western New England University,38.1
OpinionWorks,38.1
Public Policy Institute of California,38.5
Ward Research,38.6
University of California Berkeley,38.7
Chicago Tribune,38.8
Middle Tennessee State University,39
Richard Stockton College,39.2
Western Kentucky University,39.3
Lycoming College,39.9
DePauw University,40.4
Portland Research Group,40.5
Douglas Schoen LLC,40.7
RKM Research,41.1
BP&B,41.1
Dittman Research,41.2
Nielson Brothers Polling,41.5
Northern Arizona University,41.5
Market  Solutions Group,41.8
Hendrix College,41.9
ZiaPoll,41.9
University of Houston,42.3
Market Research Insight,42.3
Roger Williams University,42.4
West Chester University,42.4
Datamar Analytics,42.4
Pan Atlantic SMS Group,42.6
Texas Lyceum,42.6
San Jose State University,43.7
Saint Leo University,44
Western Wats Center,44.3
Hoffman Research,44.4
Arizona State University,44.5
Sooner Poll,44.6
Fort Hays St University,45
Montana State University,45.4
Ciruli Associates,45.7
St Catherine University,45.9
WPAi,46
Schroth Associates/The Polling Company,46.4
Market Research Institute,46.5
Richard Day Research,46.7
Critical Insights,46.9
FM3 Research,47
Multi Quest,47.2
Southern Illinois University,47.5
Public Opinion Strategies/Ridder Braden Inc Strategies Research,47.5
Columbus Dispatch,48.4
Minnesota State University Moorhead,48.4
Wilson Research Strategies,48.7
Winthrop University,48.8
Florida Voter,48.8
Magellan Strategies,49.1
Stanford University,49.1
Thomas Partners Strategies,49.2
Rutgers University Eagleton,49.5
Elway Research,49.9
University of Mary Washington,50.1
Merriman River Group,50.7
Old Dominion University,50.9
Greenberg Quinlan Rosner,51
Lambert Edwards Associates/Denno Research,51.2
University of Connecticut,52
Fleming Associates,52.1
Davis Hibbitts Midghall Research,52.2
University of Denver,52.4
University of Southern Alabama,52.7
Hoover Institution,52.8
Vanguard Public Affairs/Denno Research,52.8
Repass Partners,52.9
Blum Weprin Associates,53.2
Research Polling Inc,53.7
SurveyUSA,53.8
Potomac Inc,54.1
Burlington Research Group,54.3
Hamilton Campaigns,54.3
Neighborhood Research,54.4
Financial Dynamics,54.4
Dakota Wesleyan University,54.9
Research 2000,55.2
Mark Blankenship Enterprises,55.4
Keating Research,55.5
YouGov,55.6
RT Strategies,55.6
State House News,55.7
Strategic Vision,55.8
University of Cincinnati,56.2
Alaska Survey Research,56.3
Market Shares Corp,56.3
Cooper Secrest Associates,56.4
Maine Center for Public Opinion Research,57.5
Virginia Commonwealth University,58
Mason Dixon,58.4
Muhlenberg College,58.8
East Tennessee State University,58.9
Ayers McHenry Associates,59
Maine Peoples Resource Center,59.1
Rasmussen,59.2
InsiderAdvantage,59.4
Poll Position,59.7
University of Southern California,59.8
McDonald Group,59.8
Foster McCollum White Associates/Baydoun Consulting,59.9
Public Policy Polling,60
Siena College,60.1
EPIC MRA,60.1
JMC Analytics,60.3
Voter Survey Service,60.4
Riley Research,60.6
New England College,60.7
QMark Research,60.7
We Ask America,60.9
The Harris Poll,61
Vanderbilt University,61
Opinion Savvy,61.3
Loras College,61.3
Selzer Company,61.4
Growth from Knowledge,61.6
Rossman Group,61.7
Consumer Logic Research,62
Y2 Analytics,62.5
University of Akron,62.7
Brown University,62.9
Emerson College,63
Mass Insight Survey Research Group,63.3
Weise Research Associates,63.4
Tarrance Group/Lake Research Partners,63.7
Gonzales Research/Arscott Research Communications,63.9
Strategic Marketing Services,64
Glengariff Group,64.2
Clout Research,64.2
Behavior Research Center,64.3
Penn Schoen Berland,64.4
NBC 5,64.4
Quinnipiac University,64.6
Ipsos,64.7
NMB Research,64.7
KRC Communications Research,65.2
Suffolk University,65.4
Landmark Communication,65.4
Anderson Robbins Research/Shaw Company Research,65.8
University of Georgia,65.9
University of Delaware,65.9
University of Massachusetts Lowell,66.1
George Washington University,67.2
Marketing Resource Group,67.4
Public Opinion Strategies/Greenberg Quinlan Rosner,67.6
Opinion Research Corporation,67.7
American Research Group,67.8
Gauge Market Research,67.8
Feldman Group,67.8
Pulse Opinion Research/Rasmussen,68
Marist College,68.1
Monmouth University,68.1
ABT Associates,68.4
Remington Research,68.6
Braun Research Group,68.9
Franklin Marshall College,69.1
Democratic Senatorial Campaign Committee,69.1
Hart Research Associates/Public Opinion Strategies,69.3
Caddell Associates/McLaughlin Associates,69.5
Moore Information Group,69.6
Southeastern Louisiana University,69.8
Greg Smith Associates,69.8
SMS,70.1
Impact Management Group,70.2
SurveyUSA/Braun Research Group,70.8
St Cloud State University,70.9
Public Opinion Strategies,71.1
Carroll Strategies,71.2
Target Insyght,71.2
TechnoMetric  Institute of Policy Politics,71.3
KELOLAND Media Group,72.1
Bennett Petts Normington,72.2
Pew Research,72.5
Christopher Newport University,73
University of Utah,73.1
Social Science Research Solutions,73.6
Hickman Analytics,73.6
University of South Florida Polytechnic,73.7
Wenzel Strategies,73.9
Dixie Strategies,74.5
JZ Analytics,74.5
Hill Research Consultants,74.5
University of Wisconsin,74.8
Scripps Research Center,75
Democracy Corps,75.1
Purple Strategies,75.4
OnPoint,75.4
Zogby Analytics,75.6
Myers Research Strategic Services,75.8
University of Iowa,76.3
Mike Downs Center for Indiana Politics Purdue University,76.3
Merrill Research International,76.5
University of New Hampshire,76.7
Rhode Island College,76.7
Pulse Opinion Research,76.8
National Research Inc,77
Indiana Legislative Insight,77.3
APC Research Inc,77.5
Ivan Moore Research,78
Susan Pinkus/Interviewing Service of America Inc,78.2
VC Research,78.4
Iona College,78.5
CRG Research,78.5
Market Trends Pacific,78.5
CBS News Election Survey Unit,78.6
Harper Polling,78.9
Mitchell Research Communications,79
Sand Mountain Communications,79.3
Garin Hart Yang Research Group,79.3
Gravis Marketing,80.3
Bendixen Amandi International,80.4
Franklin Pierce College,80.6
Mellman Group,80.7
Susquehanna Polling Research,80.9
Missouri State University,80.9
Trafalgar Group,81.4
Schroth Eldon Associates,81.4
Goodwin Simon,82
Vox Populi Polling,82.2
New York Times,82.3
Mercyhurst University,82.4
Westhill Consulting,82.5
RT Strategies/Constituent Dynamics,83
Hart Research Associates,83.5
New York Times/Kaiser Family Foundation,83.6
Hampton University,83.7
Quest Research,83.8
Abacus Data Polling,84.2
OH Predictive Insights,84.5
USA Polling Group,84.7
MassINC Polling Group,85.1
Stockton University,85.5
Mass Insight Survey Research Group/Opinion Dynamics,86.2
Marshall Marketing,86.4
Mercury Public Affairs,86.9
GEB International,87
McLaughlin Associates,87
Denver Post/9 News,87.8
Tarrance Group,87.9
Benenson Strategy,88
Opinion Dynamics,88.3
Concord Monitor,88.7
Sacred Heart University,88.9
Marquette University,89
Florida Chamber Political Institute,89.2
Ball State University,89.6
Hart Research Associates/Market Opinion Research,89.9
Gallup,90.9
University of North Carolina Ashville,91.7
TelOpinion Research,91.8
St Norbert College,91.9
Victory Enterprises,92.2
Essman Research,92.3
Fabrizio Lee Associates,92.4
Research America,92.6
Roanoke College,93.1
DFM Research,93.1
TNS Global,93.2
Anzalone Liszt Grove Research,93.4
University of Massachusetts Amherst,93.9
Grove Insight,94.9
University of Massachusetts,95.3
University of Florida,95.6
Theing Company,96
High Point University,96.2
Marketing Workshop,96.2
Public Opinion Strategies/Fairbank Maslin Maullin Metz Associates,96.6
Opinion Analysts,96.6
Elon University,96.7
Momentum Analysis,96.9
Strategic Research Associates,97
Princeton Survey Research Associates International,97.2
Lake Research,97.2
Oregon State University,97.5
Dartmouth College,98.1
SurveyMonkey,98.2
Clemson University,98.3
HarrisX,98.8
Cherry Communications,98.9
Cromer Associates,99.3
North Star Opinion Research,100.9
University of Tennessee,101
Harstead Strategy,101.1
SEA Polling Strategic Design,101.3
University of Minnesota,102.2
Voter Consumer Research,102.8
Wirthlin Worldwide,105.5
Becker Institue,105.6
University of North Florida,105.9
Talmey Drake Research Strategy,106.8
Infomark Research,107.7
Fextel Inc,108.7
Kitchens Group Research,112.1
Lake Snell Perry,113.9
Thomas Partner Strategies,114
American Viewpoint,114.4
Central Surveys,118
Florida Atlantic University,118.8
Global Strategy Group,119.8
Public Religion Research Institute,120.8
Hamilton Beattie Staff,124.7
Harvard University,127
Creators Syndicate,129.2
Majority Opinion Research,129.3
Analytical Group,132.6
Free Press,134
Hart McInturff,134.4
University of San Diego,136.3
StrategyOne,137.3
International Communications Research,137.3
Tarrance Group/Lake Snell Perry Associates,138.9
Hart Teeter,142.5
American Insights,142.7
Aspen Media Market Research,142.9
Yankelovich Partners,143
Associated Industries of Florida,148.6
Fabrizio Lee Associates/McLaughlin Associates,149.9
Political Marketing Information,152.3
University of Alabama Birmingham,154.5
