sponsor_list,MAAPE
Marshall University,1
Esquire/Yahoo News,2.6
University of Maryland,2.6
Harris Deville Associates,3.4
Lan Grigsby,4.8
GOPAC Texas,6.2
KOMO News,6.6
WFAA/Belo,9.3
University of Massachusetts Lowell,10
Ethridge Associates,10
Fox Chicago,11.2
Basswood Research,11.4
TechnoMetric  Institute of Policy Politics,12.4
Constituent Dynamics,12.7
News Journal,13
Ward Research,13
University of Texas,13.7
TargetPoint Consulting,13.9
Harvard University,14
S Media,14.3
OnSight Public Affairs/Keating Research,14.5
Castleton State College,15.2
Illinois Wesleyan University,15.4
Keating Research/Magellan Strategies Polling,15.5
Davis Hibbitts Midghall Research,15.9
Fox 8,16.8
Capital Survey Research Center,17.1
Arkansas State University,17.3
Indiana State University,17.7
National Republican Senatorial Committee,17.7
WDAY,17.8
Press Register,18.1
Dan Jones Associates,18.2
WSMV,18.3
Carolina Poll,18.4
Knox News,18.7
Stanford University,18.8
University of Central Arkansas,19
Star Bulletin,19.3
Fox 12,19.8
Baselice Associates,20.2
Chicago Tribune/WGN,20.8
University of New Orleans,20.9
University of Washington,21
Palmetto Politics Poll,21.7
AZ Daily Star,21.7
National Public Radio/PBS,21.9
Austin American Statesman,21.9
Mobile Register,22.1
Inside Tucson Business,22.6
Merrimack College,22.6
RKM Research,22.7
KOTV,22.7
News 9/News 6,23
Southern Media and Opinion Research,24
St Anselm College,24.5
Scripps Howard Foundation,24.5
Deseret News,24.7
KATU,25.4
HighGround/Moore Information Group,25.5
NBC Valley News,25.9
KHOU/Houston Public Broadcasting,25.9
Clarus Research Group,25.9
Goucher College,26.2
WAFB 9 News,26.4
Argus Leader/KELO TV,26.9
University of Arkansas,27.3
OpinionWorks,28.4
Hartford Courant,28.6
KABC,28.8
Ipsos,28.9
Vermont Public Radio,30.1
Hayride,30.1
WHOTV,30.4
Public Opinion Strategies/Greenberg Quinlan Rosner,30.5
Oregonian,30.6
Indy Politics,31.2
Strategies 360,31.3
Mansfield University,31.3
Field Poll,31.8
Birmingham News,31.8
Providence Journal/WPRI,32.2
Polimetrix,32.2
Temple University,32.5
Landmark Communication/Rosetta Stone Communications,32.7
Winthrop University,32.8
Philadelphia Inquirer,33.1
Texas Tech University,33.2
Harrison Hickman,33.3
Gonzales Research,33.8
Project New America,34.1
Arizona State University,34.7
Baltimore Sun,34.8
Cole Hargrave Snodgrass Associates,35.1
KCTS 9,35.4
Fairleigh Dickinson University,35.5
Orion Strategies,35.6
Opinion Consultants,36.4
West Chester University,36.5
Colby College,36.9
Las Vegas Sun,37.3
Oklahoman,37.3
Indiana Manufacturing Association,37.4
Western New England University,38.1
Public Policy Institute of California,38.5
University of California Berkeley,38.7
Alaska Dispatch,38.7
Marist College,38.8
Middle Tennessee State University,39
Richard Stockton College,39.2
Western Kentucky University,39.3
Reuters/CSPAN,39.3
WXIA,39.4
John Locke Foundation,39.5
Lycoming College,39.9
Guardian,40.5
NBC 4 NY,40.5
Portland Research Group,40.5
Cleveland Plain Dealer,40.5
Oregonian/KATU,40.5
Newsweek/Daily Beast,40.7
Concord Monitor,40.7
Heat Street,41
BP&B,41.1
Texas Tribune,41.2
WWL TV,41.2
Dittman Research,41.2
Nielson Brothers Polling,41.5
Northern Arizona University,41.5
Idaho Politics Weekly,41.6
Zimmerman Associates,41.6
Talk Business and Politics,41.9
ZiaPoll,41.9
Fairleigh Dickinson University PublicMind,42.2
Market Research Insight,42.3
Datamar Analytics,42.4
Pan Atlantic SMS Group,42.6
Texas Lyceum,42.6
Old Dominion University,42.8
Arkansas News,42.9
State House News,43
KSDK,43.1
Badger Institute,43.1
Diageo Hotline Poll,43.2
Dallas Morning News,43.3
San Jose State University,43.7
Honolulu Star Advertiser,43.9
Saint Leo University,44
Utah Policy Center,44.3
Hoffman Research,44.4
KSN News,44.6
Critical Insights,44.6
Atlanta Journal Constitution,44.8
Fort Hays St University,45
Des Moines Register,45.1
Ciruli Associates,45.7
Siena College,46.1
KCCI,46.1
Hearst Argyle,46.2
KC Star,46.5
Alabama Education Association,46.6
KGTV,46.7
