sponsor_list,MAAPE
ABC News,1.3
Quinnipiac University,13.8
The Battleground Poll,18.2
Democracy Corps,18.6
Zogby Analytics,20.9
Gallup,24.4
CBS News,26
Rasmussen,30.5
The Harris Poll,30.9
Pew Research,34.9
NBC News/Wall Street Journal,38.6
CNN/USA Today,44.7
Los Angeles Times/Bloomberg News,48.6
Fox News,49.1
Time,49.1
ABC News/Washington Post,52.1
Cook Political Report,52.6
CNN,53.5
CBS News/New York Times,54.3
Diageo Hotline Poll,56.2
Newsweek,57.8
USA Today,62.1
Associated Press,63.7
National Public Radio,73.2
