pollster_list,MAAPE
Western Wats Center,4.3
KRC Communications Research,4.8
Glengariff Group,5.1
Elway Research,9.1
Riley Research,9.1
Public Strategies Inc,9.3
Western New England University,15.6
EPIC MRA,16.7
USA Polling Group,17.5
Research Polling Inc,18.8
TNS Global,20.2
Dan Jones Associates,20.4
Foster McCollum White Associates/Baydoun Consulting,21.5
Rossman Group,22.7
Landmark Communication,23
OpinionWorks,27.2
Mitchell Research Communications,27.4
University of Wisconsin,29
Sooner Poll,31.7
Siena College,31.8
Ward Research,31.9
Muhlenberg College,32.5
Blum Weprin Associates,32.5
Behavior Research Center,33
Marist College,34.8
Susquehanna Polling Research,37.6
Dittman Research,39.5
Social Science Research Solutions,41.8
Pan Atlantic SMS Group,42.6
Gonzales Research,43.2
Franklin Marshall College,43.8
Wilson Research Strategies,44.5
Clarus Research Group,44.9
Critical Insights,47
American Research Group,47.7
University of Southern California,49.9
InsiderAdvantage,52.3
Field Poll,53.4
Hamilton Campaigns,54.3
Texas Lyceum,54.7
Ipsos,55.5
Hendrix College,55.9
Mason Dixon,56.2
Rasmussen,59
Selzer Company,60.4
Opinion Research Corporation,62.5
Public Policy Institute of California,62.8
University of New Hampshire,63.9
Merriman River Group,65.3
Public Policy Polling,65.8
Suffolk University,66
SurveyUSA,66
Magellan Strategies,67
Marketing Resource Group,72
University of Cincinnati,72.8
Hill Research Consultants,74.5
Maine Center for Public Opinion Research,75.9
Research 2000,76
Columbus Dispatch,77.1
Pulse Opinion Research/Rasmussen,77.8
St Norbert College,79.5
Public Opinion Strategies,81.1
Winthrop University,83
Mellman Group,86.6
Quinnipiac University,87.5
University of South Florida Polytechnic,92.6
Public Opinion Strategies/Fairbank Maslin Maullin Metz Associates,94.2
Voter Survey Service,98.9
Zogby Analytics,107
Florida Chamber Political Institute,116.6
Davis Hibbitts Midghall Research,117.7
Wenzel Strategies,121.7
Market Shares Corp,124.2
University of Minnesota,131.6
Burlington Research Group,141.9
Moore Information Group,147
Princeton Survey Research Associates International,150.8
Southern Illinois University,151.2
St Cloud State University,151.8
We Ask America,152.3
