sponsor_list,MAAPE
Middle Tennessee State University,2.3
Greenberg Quinlan Rosner,3.8
CBS News/New York Times,10.2
Constituent Dynamics,12.7
University of Arkansas,12.7
InsiderAdvantage,13.6
Chicago Tribune/WGN,14.2
Marist College,14.6
St Petersburg Times,15.4
Rocky Mountain News/CBS 4,15.6
Siena College,18.6
Albuquerque Journal,18.6
Abacus Data Polling,19.7
West Chester University,19.9
University of Connecticut,20.6
Northern Arizona University,21
Philadelphia Inquirer,22.1
CNN,22.2
Boston Globe,24.5
Behavior Research Center,24.5
University of New Hampshire,25
Oregonian,25
Ciruli Associates,25.7
Public Policy Institute of California,26.5
Opinion Research Corporation,26.6
Columbus Dispatch,27.7
Keystone Poll,28.9
Gonzales Research,29.7
Garin Hart Yang,30.9
USA Today,31.4
Opinion Consultants,31.7
Birmingham News,31.8
Quinnipiac University,32
Research 2000,33.3
Baltimore Sun,33.5
Datamar Analytics,34.6
Wisconsin Public Radio,35
Morning Call,35.2
Selzer Company,35.9
SurveyUSA,36.2
Chicago Tribune,36.3
Suffolk University,38.4
Polimetrix,38.8
University of Cincinnati,39.2
Portland Research Group,40.5
Arizona State University,42
Strategic Vision,43.1
Badger Institute,43.1
Glengariff Group,45.8
Field Poll,48.2
Daily Herald,48.3
Mason Dixon,48.4
Rasmussen,50.1
San Jose State University,51.5
American Research Group,52.2
Zogby Analytics,52.7
University of Southern Alabama,52.7
Detroit Free Press,53.3
Los Angeles Times,53.5
University of Akron,54.7
Mansfield University,55.2
State House News,55.7
Detroit News,56
Dittman Research,57.7
Riley Research,61.9
Public Opinion Strategies,62.7
University of Wisconsin,67.3
Blum Weprin Associates,70.3
Marketing Resource Group,70.9
Washington Post,73.2
Ivan Moore Research,73.3
Issues Pennsylvania,74.1
McLaughlin Associates,77.1
CRG Research,78.5
Moore Information Group,78.5
Hart Research,78.5
University of Massachusetts,78.5
Mitchell Research Communications,82
Grove Insight,83.2
Cooper Secrest Associates,86.5
Critical Insights,87.9
Goodwin Simon,88.9
Victory Enterprises,92.2
Strategic Marketing Services,92.9
Star Tribune,96.6
Opinion Analysts,96.6
Dallas Morning News,98.3
Cromer Associates,99.3
Clemson University,101.8
Greg Smith Associates,102.3
Chicago Sun Times,107.7
Gallup,110.7
University of Minnesota,133.9
Brown University,137.3
Rhode Island College,140.6
Minnesota Star Tribune,147.1
St Cloud State University,148
