pollster_list,MAAPE
Critical Insights,5.7
Mitchell Research Communications,21.2
Monmouth University,24.8
Saint Leo University,32.2
MassINC Polling Group,39.4
Public Policy Polling,39.5
We Ask America,47.8
Montana State University,49.2
Remington Research,55.7
Harper Polling,56.3
New England College,56.7
Landmark Communication,62.9
Richard Stockton College,63.7
Hendrix College,66
Siena College,66.4
Maine Peoples Resource Center,68.2
Emerson College,72
University of New Hampshire,72.7
Ivan Moore Research,73.7
Loras College,75.6
SurveyUSA,77.8
QMark Research,78.5
Pan Atlantic SMS Group,93.7
Marketing Resource Group,95.1
University of Massachusetts Amherst,119
Political Marketing Information,152.3
