sponsor_list,MAAPE
Chicago Tribune,6.4
Richard Stockton College,13.6
Critical Insights,16.8
Pan Atlantic SMS Group,21.6
Montana State University,22.3
Foster McCollum White Associates/Baydoun Consulting,24.5
Maine Peoples Resource Center,27.6
Sooner Poll,35.3
Brown University,47
Forum Communications Company,47.6
Virginian Pilot,50.9
Mason Dixon,52.5
Public Policy Polling,68.1
WMUR,68.3
University of New Hampshire,71.6
New England College,72.7
Siena College,74.5
Las Vegas Review Journal,76.1
Baltimore Sun,76.1
Star Tribune,76.8
Glengariff Group,84.2
WPRI,87
SurveyUSA,89.7
We Ask America,93.1
Sunshine State News,99.9
KSTP,103.9
Omaha World Herald,120.7
San Diego Union Tribune,136.3
Boston Globe,140.6
Deseret News/KSL TV,153.7
