pollster_list,MAAPE
Baselice Associates,1.3
Montana State University,2.2
Langer Research Associates,2.6
WPAi,5.1
Brown University,5.4
University of Massachusetts Lowell,6
Clarus Research Group,7
Pan Atlantic SMS Group,8.5
DePauw University,10.4
St Cloud State University,12.8
Western New England University,12.9
Sooner Poll,13.3
University of Arkansas,13.8
Dan Jones Associates,14.5
Hendrix College,14.7
Richard Stockton College,15.1
Castleton State College,15.2
MassINC Polling Group,17.1
Fleming Associates,17.9
Rutgers University Eagleton,17.9
Market Shares Corp,18.1
Maine Peoples Resource Center,18.6
Siena College,19.1
OpinionWorks,19.2
OnSight Public Affairs/Keating Research,19.4
Texas Lyceum,20
Research Polling Inc,20.3
St Norbert College,21.3
University of Connecticut,21.3
Mass Insight Survey Research Group/Opinion Dynamics,22
Douglas Schoen LLC,22.7
Fairleigh Dickinson University,24.2
Magellan Strategies,24.9
Strategies 360,25.3
Field Poll,25.4
University of Southern California,25.4
University of Denver,25.4
New England College,26.1
Gonzales Research,26.6
Essman Research,26.9
Nielson Brothers Polling,32.2
Elway Research,32.3
Monmouth University,32.6
Weise Research Associates,34.4
Critical Insights,36.5
Southern Illinois University,37.8
Hart Research Associates/Public Opinion Strategies,38
University of Washington,38.1
Muhlenberg College,38.6
Landmark Communication/Rosetta Stone Communications,38.9
Marketing Resource Group,39.9
SurveyUSA,41
Marquette University,41.5
Global Strategy Group/National Research Inc,41.8
Middle Tennessee State University,41.8
Glengariff Group,41.9
Public Policy Institute of California,43.5
Public Policy Polling,44
Democracy Corps,44.5
TechnoMetric  Institute of Policy Politics,44.6
Mercyhurst University,44.9
Franklin Marshall College,45
Wenzel Strategies,45.5
University of Cincinnati,45.7
We Ask America,46.8
Ipsos,50.7
HighGround/Moore Information Group,51.1
Mason Dixon,52.4
EPIC MRA,52.5
Hoffman Research,52.8
University of Wisconsin,53.6
Quinnipiac University,54.3
Opinion Savvy,54.4
Neighborhood Research,54.4
Opinion Research Corporation,57.8
ABT Associates,58.5
University of New Hampshire,59.1
Myers Research Strategic Services,59.1
Suffolk University,59.5
Lambert Edwards Associates/Denno Research,60
Princeton Survey Research Associates International,60.7
Rasmussen,61.1
Pew Research,61.2
Marist College,61.4
Selzer Company,63.6
Social Science Research Solutions,63.9
Vanderbilt University,64.4
Mitchell Research Communications,64.7
NMB Research,64.7
North Star Opinion Research,65.5
Arizona State University,66.3
Old Dominion University,67.2
Growth from Knowledge,68.6
American Research Group,69.1
CBS News Election Survey Unit,69.3
Caddell Associates/McLaughlin Associates,69.5
Anderson Robbins Research/Shaw Company Research,69.7
George Washington University,70
Gallup,70.1
SurveyUSA/Braun Research Group,70.8
Susquehanna Polling Research,71.2
Purple Strategies,72.6
Gravis Marketing,73.6
Columbus Dispatch,73.8
JZ Analytics,74.5
Foster McCollum White Associates/Baydoun Consulting,76.3
National Research Inc,76.3
Behavior Research Center,77.4
Elon University,78.5
Public Opinion Strategies,78.5
University of Iowa,86.5
Voter Consumer Research,86.5
Roanoke College,100.6
Christopher Newport University,105.6
Dartmouth College,105.8
McLaughlin Associates,119.7
High Point University,124.9
University of North Florida,128.8
Majority Opinion Research,129.3
Voter Survey Service,141.9
