sponsor_list,MAAPE
Salt Lake Tribune,1.1
Indianapolis Star,1.9
Public Opinion Strategies,3.2
Harris Deville Associates,3.4
Harrison Hickman,6.4
University of Arkansas,7.2
Times Dispatch,9.7
Dittman Research,9.8
Deseret News,10.3
University of Massachusetts,12.3
TechnoMetric  Institute of Policy Politics,12.4
RKM Research,12.6
Siena College,12.7
Wilson Research,14.6
Brown University,15.8
University of New Orleans,17.1
Capital Survey Research Center,17.1
Arkansas State University,17.3
Field Poll,17.4
Market Research Insight,18.3
Knox News,18.7
Behavior Research Center,18.8
Oregonian,18.8
Star Bulletin,19.3
Philadelphia Inquirer,19.7
Mansfield University,19.7
Greg Smith Associates,20.9
Gonzales Research,21.4
Mobile Register,22.1
Merrimack College,22.6
Bluegrass Poll Lexington Herald Leader/Courier Journal/WKYT TV/WHAS TV,22.7
KOTV,22.7
Indiana Manufacturing Association,24.3
Texas Tribune,26
WDAY,26.4
Montana State University,27.6
San Jose State University,28.2
Public Policy Institute of California,29.1
Baltimore Sun,29.8
Chicago Tribune/WGN,29.9
Southern Media and Opinion Research,30.1
Hayride,30.1
Atlanta Journal Constitution,30.8
KELOLAND Media Group,31.3
John Locke Foundation,34.1
KAET,34.3
National Republican Senatorial Committee,34.5
Oklahoman,37.3
Detroit News,39.1
Rocky Mountain News,40.2
Cleveland Plain Dealer,40.5
Oregonian/KATU,40.5
BP&B,41.1
SurveyUSA,41.6
Arizona Republic,41.8
WAFB 9 News,42.1
EPIC MRA,42.6
Middle Tennessee State University,42.6
Arkansas News,42.9
Moore Information Group,43.1
NBC News/Wall Street Journal,43.9
Star Ledger,47.2
Fairleigh Dickinson University PublicMind,47.4
Northern Arizona University,48.3
KATU,48.3
KC Star,48.9
Muhlenberg College,49.1
Research 2000,49.3
Las Vegas Sun,49.4
GW Battleground Poll,49.8
Rasmussen,52.7
Elway Poll,52.7
Reuters,52.8
Temple University,54
Tampa Tribune,54
Strategic Marketing Services,54.4
Marist College,55.1
WHYY,57.1
MPR News,57.3
Mason Dixon,58.2
Critical Insights,58.8
Ayres McHenry,58.8
Quinnipiac University,59.2
FM3 Research,59.5
CBS News/New York Times,60.1
Ipsos,60.4
Ciruli Associates,63.4
Columbus Dispatch,63.8
University of Connecticut,63.9
Strategic Vision,67.5
American Research Group,68.1
Social Science Research Solutions,68.4
Gallup,68.8
National Public Radio,68.9
Suffolk University,69.4
Associated Press,69.5
Marketing Resource Group,70
Global Strategy Group,70.2
The Battleground Poll,70.2
Rocky Mountain News/CBS 4,70.4
CNN/Time,71.1
InsiderAdvantage,73.7
Arizona State University,74.6
Investors Business Daily,75
Democracy Corps,77.1
West Chester University,78.5
St Cloud State University,78.5
Miami Herald/St Petersburg Times,78.5
Washington Post,78.5
Sayfie Review/InsiderAdvantage,78.5
Los Angeles Times,79
University of New Hampshire,79.7
Fox News,81.1
Honolulu Star Advertiser,82.4
Pew Research,82.6
Zogby Analytics,83.3
SMS,84
Wall Street Journal,84.2
Miami Herald,84.2
Star Tribune,87.5
New York Times,87.6
University of North Florida,87.6
The Harris Poll,87.7
Keystone Poll,88.3
ABC News/Washington Post,89.2
Mitchell Research Communications,90.2
Sacred Heart University,90.4
St Pete Poll,91
Time,91.1
Newsweek,91.9
CNN/USA Today,93.2
Hamilton Beattie Staff,95.1
Issues Pennsylvania,95.1
Bennett Petts Normington,95.1
Ohio Newspapers,95.3
Oregon State University,97.5
CBS News,99.3
Free Press,100.9
Riley Research,101.7
Chicago Tribune,104.5
Becker Institue,105.6
University of Minnesota,107.7
Des Moines Register,109
Hart Research,110.4
HHI,111.3
WMUR,112.2
Lake Snell Perry,113.9
KGWTV,114.3
Central Surveys,118
Plain Dealer,122.9
Scripps Company,123.9
Harstead Strategy,127.5
ABC News,128.6
Creators Syndicate,129.2
Granite State Poll,129.9
Albuquerque Journal,131.2
University of Cincinnati,133.9
NBC News,134.4
Franklin Pierce College,137.5
KCCI,142.3
Wisconsin Public Radio,149.7
Badger Poll,150.5
