pollster_list,MAAPE
Southern Illinois University,0
Elway Research,2.7
University of Massachusetts Lowell,6.2
Dartmouth College,6.2
MassINC Polling Group,9.3
Montana State University,10.6
Fairleigh Dickinson University,11.1
Pan Atlantic SMS Group,12.1
Western New England University,12.4
Winthrop University,16.1
University of Massachusetts Amherst,19.2
Monmouth University,20.7
Voter Survey Service,20.7
Sooner Poll,22.9
Target Insyght,23.8
JMC Analytics,25.5
University of Texas,29.1
Mason Dixon,30
Glengariff Group,30.9
We Ask America,31.6
University of New Orleans,31.7
Texas Lyceum,32.6
Richard Stockton College,33.9
Nielson Brothers Polling,36.1
Research Polling Inc,37.6
Marketing Resource Group,38.9
Selzer Company,39.5
EPIC MRA,40
Ipsos,41.4
Maine Peoples Resource Center,43.1
Mitchell Research Communications,43.7
YouGov,43.7
Opinion Savvy,45.7
University of Arkansas,49.3
Rasmussen,52.9
Repass Partners,53.1
Vanguard Public Affairs/Denno Research,54.9
ABT Associates,55
SurveyUSA,55.7
Magellan Strategies,64
Multi Quest,64.2
University of New Hampshire,64.3
APC Research Inc,64.8
Gravis Marketing,65.3
Lambert Edwards Associates/Denno Research,65.8
Harper Polling,66.6
Western Kentucky University,67.9
Remington Research,68.4
Impact Management Group,68.7
University of Delaware,69.8
Suffolk University,70.6
Wenzel Strategies,71.5
Loras College,72.1
Hendrix College,72.3
Public Policy Polling,72.4
Hickman Analytics,72.9
Anderson Robbins Research/Shaw Company Research,75.5
Marist College,75.7
Quinnipiac University,76.3
Purple Strategies,78.5
WPAi,79.4
Opinion Research Corporation,80.6
New England College,82.2
Landmark Communication,83.2
GEB International,87
Sand Mountain Communications,87.1
New York Times/Kaiser Family Foundation,88
Vox Populi Polling,89.7
American Research Group,91.3
Theing Company,96
High Point University,96.3
National Research Inc,97
Ivan Moore Research,130.9
American Insights,142.7
University of Mary Washington,148.4
Christopher Newport University,150.1
Roanoke College,153
Hampton University,153.5
