sponsor_list,MAAPE
HighGround/Moore Information Group,0
Brown University,2.7
Deseret News/KSL TV,3.7
Marist College,3.9
Reason,4
Gonzales Research,5.7
Middle Tennessee State University,10.1
Field Poll,11.9
Baltimore Sun,12.4
Richard Stockton College,12.8
Baselice Associates,13.1
Suffolk University,16.5
Honolulu Star Advertiser,17.4
Siena College,18.2
Old Dominion University,18.4
Fox News,18.4
Star Tribune,19.9
WPRI,21.3
KCTS 9,21.4
St Cloud State University,21.8
KSTP,22.1
University of North Florida,22.7
Los Angeles Times,31
Philadelphia Inquirer,31.9
Cincinnati Enquirer/Ohio News,32.2
Project New America,32.2
Magellan Strategies,32.2
Ohio Newspapers,33.7
Fairleigh Dickinson University,34.3
Omaha World Herald,35.3
WSVN,36
Monmouth University,36
Rutgers University Eagleton,36.7
Washington Post,37
SurveyUSA,37.4
Detroit News,37.4
Albuquerque Journal,37.8
EPIC MRA,38.5
Morning Call,39.5
Franklin Marshall College,40.1
FM3 Research,40.7
Columbus Dispatch,45.8
CBS News,46.4
NBC News/Wall Street Journal,46.7
CBS News/New York Times,46.9
WBUR,48.9
Honolulu Civil Beat,50.9
Tampa Bay Times,51.7
Hartford Courant,51.8
Public Policy Polling,52.9
Western New England University,54.2
NBC News,54.4
Sunshine State News,55.2
Mitchell Research Communications,56.2
Texas Lyceum,56.6
Tribune Review,57.5
Quinnipiac University,58.3
Wilson Research,61.8
News 7,62.4
Foster McCollum White Associates/Baydoun Consulting,62.6
Billings Gazette,63
Mass Insight Survey Research Group,63.3
Marketing Resource Group,63.4
Susquehanna Polling Research,66.3
Post Dispatch,68.1
We Ask America,69.2
Howey Politics Indiana,70.3
Daily Kos,70.5
Rasmussen,71
Gravis Marketing,71.9
Boston Globe,72.8
Mason Dixon,78.3
WWBT,78.5
Marquette University,84.7
Public Opinion Strategies/Fairbank Maslin Maullin Metz Associates,87.8
Boston Herald,92
Times Dispatch,92.9
KSNV,98.3
Americans for Prosperity,98.3
Wisconsin Public Radio,99.6
Roanoke College,99.8
Montana State University,106.6
Retail Association of Nevada,112.4
Behavior Research Center,116.6
Mass Insight Survey Research Group/Opinion Dynamics,116.6
Las Vegas Review Journal,132.8
Forum Communications Company,147.3
