pollster_list,MAAPE
The Harris Poll,16.8
Knowledge Networks,17.5
Monmouth University,26.4
Emerson College,27.5
Suffolk University,32.3
TechnoMetric  Institute of Policy Politics,34.4
Stanford University,49.1
Social Science Research Solutions,51.2
Wirthlin Worldwide,51.4
RT Strategies,52.6
Susan Pinkus/Interviewing Service of America Inc,52.9
YouGov,53.4
Tarrance Group/Lake Research Partners,55.1
Hart Research Associates/Public Opinion Strategies,56.8
Quinnipiac University,56.9
Marist College,57.9
Zogby Analytics,58.2
Douglas Schoen LLC,58.8
Pew Research,59.9
Anderson Robbins Research/Shaw Company Research,60.4
Growth from Knowledge,60.9
Public Opinion Strategies/Greenberg Quinlan Rosner,60.9
Ipsos,61.6
Public Opinion Strategies,61.7
CBS News Election Survey Unit,64.7
ABT Associates,67.3
Hart Research Associates/Market Opinion Research,69.3
Financial Dynamics,69.4
Opinion Dynamics,69.8
Opinion Research Corporation,70.9
George Washington University,72.6
Democracy Corps,74.9
Gallup,75.2
Rasmussen,77
TNS Global,77.7
McLaughlin Associates,78.9
Princeton Survey Research Associates International,80.3
Public Policy Polling,83.3
Selzer Company,84.3
Greenberg Quinlan Rosner,86.6
American Viewpoint,88.3
Strategic Research Associates,135.1
North Star Opinion Research,136.2
Harvard University,142.3
