pollster_list,MAAPE
Middle Tennessee State University,2.3
OnSight Public Affairs/Keating Research,3.6
Greenberg Quinlan Rosner,3.8
Western Wats Center,4.3
WPAi,6.4
Braun Research Group,6.7
Minnesota State University Moorhead,8
Public Strategies Inc,9.3
Indiana Legislative Insight,9.6
JMC Analytics,9.7
CBS News Election Survey Unit,10.2
Loras College,11.1
Global Strategy Group,11.8
Constituent Dynamics,12.7
Strategies 360,13.6
Potomac Research Group,15.2
Illinois Wesleyan University,15.4
Keating Research/Magellan Strategies Polling,15.5
The Harris Poll,15.9
Dan Jones Associates,16.2
OH Predictive Insights,17.3
University of Maryland,19.6
Abacus Data Polling,19.7
West Chester University,19.9
University of California Berkeley,20.1
University of Connecticut,20.6
Northern Arizona University,21
Foster McCollum White Associates/Baydoun Consulting,21.5
Temple University,22.1
Rossman Group,22.7
Research Polling Inc,23.2
Gauge Market Research,24.5
Ciruli Associates,25.7
University of Houston,25.9
University of Southern California,26.9
Lambert Edwards Associates/Denno Research,27.8
Cole Hargrave Snodgrass Associates,29.4
Goucher College,30
University of Arkansas,30.8
Opinion Consultants,31.7
University of South Alabama,31.8
Schroth Associates/The Polling Company,32.1
Fleming Associates,32.2
Muhlenberg College,32.4
University of Washington,32.4
Bellwether Research Consulting,33.7
Datamar Analytics,34.6
Ward Research,35
Columbus Dispatch,35.7
University of Texas,35.9
Susquehanna Polling Research,37.6
Mitchell Research Communications,38.1
Glengariff Group,38.6
Polimetrix,38.8
Chicago Tribune,38.8
Public Policy Institute of California,39
Franklin Marshall College,39.1
East Tennessee State University,39.3
Target Insyght,39.7
Portland Research Group,40.5
Gonzales Research,40.7
Riley Research,41.5
TNS Global,41.8
Field Poll,42
Nielson Brothers Polling,42.8
Garin Hart Yang Research Group,42.8
Vanderbilt University,43.4
Wilson Research Strategies,44.5
Clarus Research Group,44.9
Texas Lyceum,45.1
Marshall Marketing,45.1
St Catherine University,45.9
Hendrix College,46.7
University of Wisconsin,47.1
Sooner Poll,47.3
Richard Day Research,48.3
Mercyhurst University,48.8
Florida Voter,48.8
Thomas Partners Strategies,49.2
Strategic Vision,50
Pan Atlantic SMS Group,50.2
Mason Dixon,50.5
Research 2000,50.6
Tarrance Group,50.6
Alaska Survey Research,50.7
Vanguard Public Affairs/Denno Research,50.7
San Jose State University,51.5
QMark Research,51.7
Dittman Research,51.7
Hoffman Research,52
Elway Research,52.3
InsiderAdvantage,52.3
Gallup,52.3
University of Southern Alabama,52.7
Magellan Strategies,53.1
Blum Weprin Associates,53.2
YouGov,53.4
Selzer Company,53.9
Hamilton Campaigns,54.3
TelOpinion Research,54.3
Public Opinion Strategies,54.4
Growth from Knowledge,54.6
University of Akron,54.7
Roger Williams University,55.1
Zogby Analytics,55.1
Mansfield University,55.2
Anderson Robbins Research/Shaw Company Research,55.4
Rasmussen,55.6
State House News,55.7
Saint Leo University,55.9
University of Massachusetts Lowell,56.6
Winthrop University,56.8
EPIC MRA,57.1
Carroll Strategies,57.5
Susan Pinkus/Interviewing Service of America Inc,57.6
New England College,57.8
OpinionWorks,57.8
Western New England University,57.9
Market Research Institute,58
SurveyUSA,58.2
Dixie Strategies,58.4
Marist College,58.6
University of Cincinnati,59.4
Critical Insights,59.6
Davis Hibbitts Midghall Research,60.2
Emerson College,61
Marquette University,61.3
Opinion Savvy,61.8
Social Science Research Solutions,62
Ipsos,62.3
Marketing Resource Group,62.5
Opinion Research Corporation,62.6
Gonzales Research/Arscott Research Communications,63.9
Siena College,64.6
Mellman Group,65
American Research Group,65.2
KRC Communications Research,65.2
Merriman River Group,65.3
Landmark Communication,65.5
Southern Illinois University,65.5
University of Georgia,65.9
St Norbert College,67.4
Public Policy Polling,67.5
Suffolk University,67.9
Potomac Inc,70.2
Sand Mountain Communications,71.4
Castleton University,72.4
Impact Management Group,72.5
University of New Hampshire,73.1
Quinnipiac University,73.1
Ivan Moore Research,73.3
Sacred Heart University,73.9
Pew Research,74.1
Hill Research Consultants,74.5
Vox Populi Polling,74.8
New York Times/Kaiser Family Foundation,74.8
Arizona State University,75.6
Hickman Analytics,75.7
Maine Center for Public Opinion Research,75.9
Market Shares Corp,76.6
Clout Research,76.7
Pulse Opinion Research/Rasmussen,77.8
Behavior Research Center,78.1
Democracy Corps,78.5
CRG Research,78.5
Hart Research Associates,78.5
Franklin Pierce College,78.5
Market Trends Pacific,78.5
Montana State University,80.2
Burlington Research Group,80.6
Voter Survey Service,82.1
Grove Insight,83.2
Harper Polling,84.5
USA Polling Group,84.7
Remington Research,86.1
We Ask America,86.2
Cooper Secrest Associates,86.5
Harvard University,86.9
Gravis Marketing,88.3
HarrisX,88.7
Goodwin Simon,88.9
APC Research Inc,90.2
ABT Associates,92.1
Victory Enterprises,92.2
University of South Florida Polytechnic,92.6
Strategic Marketing Services,92.9
Public Opinion Strategies/Fairbank Maslin Maullin Metz Associates,94.2
University of Florida,95.6
Monmouth University,96.6
Opinion Analysts,96.6
University of Massachusetts Amherst,96.8
Maine Peoples Resource Center,99.3
Cromer Associates,99.3
Brown University,100
Moore Information Group,101.4
Clemson University,101.8
Greg Smith Associates,102.3
MassINC Polling Group,104.6
Princeton Survey Research Associates International,106.9
Ball State University,107.1
Trafalgar Group,110.2
University of Massachusetts,110.5
McLaughlin Associates,112.6
RKM Research,114.8
University of Iowa,116.6
Florida Chamber Political Institute,116.6
St Cloud State University,118.5
Mass Insight Survey Research Group/Opinion Dynamics,120.1
Wenzel Strategies,121.7
Dartmouth College,125.3
Elon University,131.8
University of Minnesota,132.4
Analytical Group,132.6
Ayers McHenry Associates,132.6
Free Press,134
Strategic Research Associates,135.5
Fextel Inc,136.4
Rhode Island College,140.6
Purple Strategies,141.2
Florida Atlantic University,144.3
University of North Florida,146
High Point University,154.5
University of Alabama Birmingham,154.5
