pollster_list,MAAPE
Rhode Island College,0.7
Burlington Research Group,1.8
Langer Research Associates,2.6
Harris Deville Associates,3.4
Greenberg Quinlan Rosner,6.2
Harrison Hickman,6.4
Dittman Research,9.8
DePauw University,10.4
University of Texas,11
Castleton University,12.1
RKM Research,12.6
TargetPoint Consulting,12.7
Wilson Research Strategies,14.6
Brown University,15.1
Castleton State College,15.2
Greg Smith Associates,15.2
Greenberg McInturff,16.5
Western New England University,16.6
Capital Survey Research Center,17.2
University of Arkansas,17.3
Arkansas State University,17.3
Baselice Associates,17.7
OpinionWorks,17.8
Magellan Strategies,18.1
Market Research Insight,18.3
University of South Alabama,18.9
University of Central Arkansas,19
Research Marketing Strategies,19.3
OnSight Public Affairs/Keating Research,19.4
Philadelphia Inquirer,19.7
Mansfield University,19.7
Sooner Poll,19.8
WPAi,21.2
Crosswind Media Public Relations/Pulse Opinion Research,21.9
Hendrix College,21.9
Strategies 360,21.9
Mass Insight Survey Research Group/Opinion Dynamics,22
Field Poll,22.3
University of New Orleans,22.6
Merrimack College,22.6
Douglas Schoen LLC,22.7
Consumer Logic Research,22.7
Southern Media and Opinion Research,24
Ayers McHenry Associates,24
Bellwether Research Consulting,24.3
Pan Atlantic SMS Group,24.4
Davis Hibbitts Midghall Research,25.7
Richard Stockton College,26
New England College,26.1
Dan Jones Associates,26.2
Edison Media Research,26.4
Essman Research,26.9
Gonzales Research,28.1
San Jose State University,28.2
Ivan Moore Research,29.1
Southeastern Louisiana University,29.6
University of Oregon,29.7
University of Washington,29.8
Goucher College,30
Cole Hargrave Snodgrass Associates,30.1
Multi Quest,30.1
Clarus Research Group,30.3
KELOLAND Media Group,31.3
Fort Hays St University,32
Rutgers University Eagleton,32
Temple University,32.5
Weise Research Associates,34.4
National Republican Senatorial Committee,34.5
Critical Insights,34.7
Montana State University,34.9
Orion Strategies,35.6
Elway Research,36.1
Fairleigh Dickinson University,36.1
Fleming Associates,37.4
Public Policy Institute of California,37.6
Middle Tennessee State University,37.7
St Cloud State University,37.9
Texas Lyceum,38.5
University of Maryland,38.8
Landmark Communication/Rosetta Stone Communications,39
Hoffman Research,39.3
Nielson Brothers Polling,40.5
Western Kentucky University,40.6
BP&B,41.1
University of Mary Washington,41.8
Global Strategy Group/National Research Inc,41.8
Market  Solutions Group,41.8
ZiaPoll,41.9
Loyola University,42.1
Southern Illinois University,42.3
Siena College,43.3
Landmark Communication,45.1
Wenzel Strategies,45.5
Keating Research,45.7
Arizona State University,46
University of Utah,46.4
We Ask America,46.8
Financial Dynamics,47.1
Moore Information Group,48.9
Market Research Institute,48.9
SurveyUSA,49
Belden Russonello Stewart,49.4
University of Connecticut,50
Dixie Strategies,50.5
HighGround/Moore Information Group,51.1
Clout Research,51.7
Northern Arizona University,51.7
Repass Partners,52.1
Research 2000,52.5
Market Shares Corp,52.6
Hoover Institution,52.8
Neighborhood Research,54.4
Strategic Marketing Services,54.4
Dakota Wesleyan University,54.9
West Chester University,55
Christopher Newport University,55.1
Mark Blankenship Enterprises,55.4
University of Iowa,56.1
Public Policy Polling,56.9
University of Denver,57
New York Times,58.1
Maine Peoples Resource Center,58.3
University of Houston,58.8
Myers Research Strategic Services,59.1
Winthrop University,59.3
Rasmussen,59.4
FM3 Research,59.5
Vanderbilt University,59.9
Ball State University,60
Lambert Edwards Associates/Denno Research,60
RT Strategies,60.2
George Washington University,60.3
Rossman Group,60.7
Poll Position,60.9
Mason Dixon,61.4
Research Polling Inc,61.9
Y2 Analytics,62.5
Public Opinion Strategies/Ridder Braden Inc Strategies Research,62.5
Behavior Research Center,62.6
Trafalgar Group,63
Cooper Secrest Associates,63.2
Public Opinion Strategies,63.4
University of Massachusetts Lowell,63.8
NMB Research,64.7
Strategic Vision,64.9
Zimmerman Associates,65.3
North Star Opinion Research,65.5
Columbus Dispatch,65.9
JMC Analytics,66
Tarrance Group/Lake Research Partners,66.2
Ciruli Associates,66.5
Emerson College,67.2
Old Dominion University,67.2
Hart Research Associates,67.5
Quinnipiac University,68.2
American Research Group,68.6
University of Delaware,69
Growth from Knowledge,69.4
Caddell Associates/McLaughlin Associates,69.5
Hampton University,69.7
Opinion Research Corporation,70.3
ABT Associates,70.8
SurveyUSA/Braun Research Group,70.8
Ipsos,71.9
Remington Research,72.2
Purple Strategies,72.6
Anderson Robbins Research/Shaw Company Research,73.4
Muhlenberg College,73.6
Democracy Corps,73.8
Selzer Company,74.4
Marist College,74.4
JZ Analytics,74.5
University of Cincinnati,74.6
YouGov,74.9
Scripps Research Center,75
TechnoMetric  Institute of Policy Politics,75.1
Suffolk University,75.1
Opinion Savvy,75.7
Riley Research,75.9
Foster McCollum White Associates/Baydoun Consulting,76.3
National Research Inc,76.3
Mike Downs Center for Indiana Politics Purdue University,76.3
MassINC Polling Group,76.5
University of Wisconsin,76.7
Hart Research Associates/Public Opinion Strategies,76.9
Merrill Research International,78.5
Public Opinion Strategies/Greenberg Quinlan Rosner,78.9
Gravis Marketing,79
University of Minnesota,79.7
EPIC MRA,80
University of Massachusetts,80.2
University of Southern California,80.3
Pew Research,80.9
Bendixen Amandi International,80.9
Roanoke College,82.1
Schroth Eldon Associates,82.3
Ward Research,82.4
University of New Hampshire,82.7
Loras College,83.3
Franklin Marshall College,83.8
SMS,84
Cherry Communications,84.3
Monmouth University,86.1
Voter Consumer Research,86.5
Susquehanna Polling Research,87.9
CBS News Election Survey Unit,88.2
Minnesota State University Moorhead,88.8
Susan Pinkus/Interviewing Service of America Inc,89
Strategic Research Associates,89.1
Elon University,89.2
Virginia Commonwealth University,89.8
Sacred Heart University,90.4
Harper Polling,90.9
Marketing Resource Group,90.9
DFM Research,93.1
Zogby Analytics,93.3
Hamilton Beattie Staff,95.1
Bennett Petts Normington,95.1
OH Predictive Insights,95.8
High Point University,97.4
Oregon State University,97.5
SurveyMonkey,98.2
Marquette University,98.8
InsiderAdvantage,99.1
University of Massachusetts Amherst,99.5
St Norbert College,100
Opinion Dynamics,101.2
SEA Polling Strategic Design,101.3
Glengariff Group,102.6
Gallup,102.6
Mercyhurst University,104
Princeton Survey Research Associates International,104.1
Schroth Associates/The Polling Company,104.3
The Harris Poll,105.2
Becker Institue,105.6
Social Science Research Solutions,106
Florida Atlantic University,106.5
TNS Global,106.8
Hart Research Associates/Market Opinion Research,106.9
Florida Chamber Political Institute,112.1
Kitchens Group Research,112.1
Dartmouth College,113.6
Lake Snell Perry,113.9
McLaughlin Associates,114.2
Franklin Pierce College,117.9
Central Surveys,118
Public Religion Research Institute,120.8
Gauge Market Research,123
Wirthlin Worldwide,123.5
Mitchell Research Communications,123.9
University of North Florida,124
Harstead Strategy,127.5
American Viewpoint,128.7
Creators Syndicate,129.2
Majority Opinion Research,129.3
TelOpinion Research,130
Global Strategy Group,131.8
Hart McInturff,134.4
Garin Hart Yang Research Group,137.3
StrategyOne,137.3
International Communications Research,137.3
Tarrance Group/Lake Snell Perry Associates,138.9
Voter Survey Service,141.9
Marshall Marketing,141.9
Hart Teeter,142.5
Yankelovich Partners,143
Indiana Legislative Insight,145.1
Associated Industries of Florida,148.6
Harvard University,148.6
Fabrizio Lee Associates/McLaughlin Associates,149.9
Target Insyght,151.4
