pollster_list,MAAPE
Greenberg Quinlan Rosner,6.2
Strategies 360,6.6
Burlington Research Group,10.5
Hoffman Research,13.1
Southern Media and Opinion Research,17.1
OpinionWorks,17.3
University of New Orleans,17.4
University of Washington,18.5
Western New England University,21.3
Field Poll,21.7
Crosswind Media Public Relations/Pulse Opinion Research,21.9
University of Arkansas,24.3
Fairleigh Dickinson University,24.5
Western Kentucky University,25.1
Elway Research,25.1
Goucher College,26.8
Winthrop University,26.9
Davis Hibbitts Midghall Research,27.2
Hendrix College,27.6
Southern Illinois University,29.3
Magellan Strategies,29.4
Landmark Communication/Rosetta Stone Communications,29.5
Richard Stockton College,31.4
Castleton University,31.7
University of Maryland,32.4
Research Polling Inc,35.3
Dan Jones Associates,35.8
Public Policy Institute of California,37.8
Landmark Communication,38.7
Ivan Moore Research,38.7
Texas Lyceum,40
University of Mary Washington,41.8
ZiaPoll,41.9
Columbus Dispatch,42.7
Sooner Poll,43
Dixie Strategies,44.8
Fort Hays St University,45
Montana State University,45.4
Rutgers University Eagleton,46.1
University of Utah,46.4
Christopher Newport University,48
Hart Research Associates,48.2
Nielson Brothers Polling,50.1
JMC Analytics,51.7
Repass Partners,52.1
Middle Tennessee State University,52.5
Hoover Institution,52.8
Clarus Research Group,53.6
Vanderbilt University,55.3
Keating Research,55.5
Clout Research,57.3
University of Houston,58.8
Siena College,60.6
University of Denver,61.4
Y2 Analytics,62.5
Trafalgar Group,63
Loras College,63.4
Maine Peoples Resource Center,64
Emerson College,65.4
SurveyUSA,65.5
Opinion Savvy,66.5
Moore Information Group,67.6
TechnoMetric  Institute of Policy Politics,68.9
University of Delaware,69
Hampton University,69.7
Public Policy Polling,73.8
Rasmussen,73.9
Public Opinion Strategies,74
Cherry Communications,74.4
Merrill Research International,76.5
Remington Research,76.8
Behavior Research Center,76.8
Mason Dixon,79
Roanoke College,79.5
Anderson Robbins Research/Shaw Company Research,79.6
YouGov,80.1
Bendixen Amandi International,80.4
Gravis Marketing,81.7
ABT Associates,82.5
Selzer Company,83.4
Suffolk University,83.5
Quinnipiac University,84
Florida Atlantic University,84.1
Monmouth University,87.8
Ball State University,89.6
Opinion Research Corporation,90.1
Marist College,92.3
High Point University,92.6
Strategic Research Associates,94
Harper Polling,94.7
George Washington University,94.9
Ipsos,95.1
OH Predictive Insights,95.8
University of Southern California,97.5
SurveyMonkey,98.2
University of North Florida,98.4
Elon University,99.3
University of Massachusetts Lowell,102.2
Arizona State University,104.5
Pew Research,106.3
Franklin Pierce College,109.6
Mercyhurst University,111.5
MassINC Polling Group,111.9
University of Massachusetts Amherst,112.1
Hart Research Associates/Public Opinion Strategies,116.8
Growth from Knowledge,117.6
Muhlenberg College,118.6
University of New Hampshire,120
Public Religion Research Institute,120.8
Franklin Marshall College,127.9
Susquehanna Polling Research,132
American Research Group,135.3
Marquette University,135.5
St Norbert College,142.2
Mitchell Research Communications,148.1
Associated Industries of Florida,148.6
Dartmouth College,149.4
Marketing Resource Group,151.2
Target Insyght,151.4
EPIC MRA,152.6
Glengariff Group,153.2
