sponsor_list,MAAPE
Mellman Group,1
Alabama Education Association,4.8
Sun Sentinel,4.8
WSOC,6.2
WFAA/Belo,7.3
Castleton State College,9.1
Ohio Newspaper,9.1
The Battleground Poll,9.3
Hartford Courant,9.9
VC Research,9.9
Christian Science Monitor/Investors Business Daily,10.2
Mark Blankenship Enterprises,14.4
Albuquerque Journal,15.6
University of Massachusetts,17.5
Marquette University,17.5
St Anselm College,18.3
Rutgers University Eagleton,21.5
Benenson Strategy,25.9
Fox 8,27.3
Arizona State University,27.4
TexasWatch Foundation,28.2
Minnesota Public Radio,28.2
Lycoming College,28.2
Monmouth University,28.7
Associated Industries of Florida,29.4
Economist,29.4
Michigan Information Research Service,29.7
Mike Downs Center for Indiana Politics Purdue University,31.8
Strategies 360,32.2
WCAX,32.5
KSNV,33.6
NBC 4 NY/Wall Street Journal,35
Project New America,36
Newsweek,36.4
Portland Tribune,36.6
Ivan Moore Research,36.8
The Atlantic,38.2
Des Moines Register/Bloomberg News,38.3
CNN/Time,39
Charleston Daily Mail,39.5
University of New Hampshire,40.7
Daily Caller,41
Lan Grigsby,41.1
Sacred Heart University,41.6
Aloha Vote,41.8
WGBH,41.9
American Conservative Union,42.3
YouGov,43.4
WWBT,44.3
Forum Communications Company,44.8
Deseret News,44.9
Argus Leader/KELO TV,45.1
University of Houston,46
Clarus Research Group,46.4
KABC,46.7
Politico/GW Battleground Poll,47.5
Las Vegas Review Journal,47.6
Brown University,48.3
West Chester University,48.5
Impact Management Group,48.7
KCCI,49.3
Old Dominion University,49.4
University of Washington,49.4
East Tennessee State University,49.6
HighGround/Moore Information Group,50.7
WSVN,50.7
Wall Street Journal/Washington Post,50.7
Americans for Prosperity,52.2
University of Cincinnati,52.3
Wisconsin Public Radio,53.2
University of Wisconsin,53.6
Big Ten Battleground Poll,53.7
Mass Insight Survey Research Group,54
Fort Hays St University,54.3
Rossman Group,54.4
Northern Arizona University,54.7
Ohio Right to Life,54.8
American Action Forum,55.9
Fox 12,56.4
Fox Chicago,57.5
RNN,58.3
Wilson Research,58.3
Times Dispatch,58.6
Mitchell Research Communications,58.8
Merrill Research International,58.9
Gannett,59.4
Indianapolis Star,59.4
State House News,60.4
Harstead Strategy,60.7
Southeastern Louisiana University,61.1
Opinion Research Corporation,61.9
University of Denver,62
Hearst Argyle,62.4
Dallas Morning News,62.6
Times Leader,62.6
Charlotte Observer,62.7
TCPalm,62.7
Reuters/CSPAN,63.4
Honolulu Star Advertiser,63.5
Baselice Associates,63.6
Greenberg Quinlan Rosner,64.8
Rhode Island College,64.8
Cook Political Report,64.8
Ipsos,64.8
Cooper Secrest Associates,64.8
Dan Jones Associates,64.8
Indiana Legislative Insight,64.8
Los Angeles Times/KTLA,64.8
Hamilton Beattie Staff,64.8
Minnesota Star Tribune,64.8
Public Opinion Strategies/Greenberg Quinlan Rosner,64.8
WNBC,64.8
Dakota Wesleyan University,64.8
University of Central Arkansas,64.8
Selzer Company,64.8
OnPoint,64.8
Global Strategy Group,64.8
Garin Hart Yang,64.8
AZ Daily Star,64.8
Opinion Consultants,64.8
Penn Schoen Berland,64.8
Keystone Poll,64.8
Inside Tucson Business,64.8
University of Minnesota,64.8
Polimetrix,64.8
RT Strategies/Constituent Dynamics,64.8
Anzalone Liszt Grove Research,64.8
Grove Insight,64.8
Bennett Petts Normington,64.8
Aspen Times,64.8
Clemson University,64.8
Press Gazette,64.8
Myers Research Strategic Services,64.8
Daily Herald,64.8
Lake Research,64.8
Abacus Data Polling,64.8
Cromer Associates,64.8
Constituent Dynamics,64.8
Goodwin Simon,64.8
CRG Research,64.8
Fleming Associates,64.8
Indiana State University,64.8
Tarrance Group,64.8
Momentum Analysis,64.8
Basswood Research,64.8
Mercury Public Affairs,64.8
The Harris Poll,64.8
Infomark Research,64.8
University of Southern Alabama,64.8
American Viewpoint,64.8
Opinion Analysts,64.8
San Jose State University,64.8
University of Akron,64.8
Westhill Consulting,64.8
Badger Institute,64.8
Feldman Group,64.8
Issues Pennsylvania,64.8
Datamar Analytics,64.8
Chicago Tribune/WGN,64.8
Birmingham News,64.8
Victory Enterprises,64.8
Portland Research Group,64.8
Voter Consumer Research,64.8
Strategic Marketing Services,64.8
University of Tennessee,64.8
Hart Research,64.8
Mansfield University,64.8
CNN/USA Today,64.8
Blum Weprin Associates,64.8
TechnoMetric  Institute of Policy Politics,64.8
Market Research Insight,64.8
Star Ledger,64.8
Cleveland Plain Dealer,64.8
Plain Dealer,64.8
Wall Street Journal,64.8
Fairleigh Dickinson University PublicMind,64.8
Oregonian/KATU,64.8
Rocky Mountain News,64.8
Badger Poll,64.8
