election,state,year,stage,pollster,N,methodology,days_until,538grade,dem_polled,rep_polled,undecided_polled,dem_actual,rep_actual,dem_diff,rep_diff
president,Alabama,2004,general,SurveyUSA ,735,Unknown,6,Unknown,39.0,57.0,4.0,37.09969789,62.90030211,3.9003021099999984,-3.9003021099999984
president,Alabama,2004,general,Capital Survey ,645,Unknown,19,Unknown,32.0,56.0,12.0,37.09969789,62.90030211,0.9003021099999984,-0.9003021099999984
president,Alabama,2004,general,SurveyUSA ,699,Unknown,30,Unknown,34.0,62.0,4.0,37.09969789,62.90030211,-1.0996978900000016,1.0996978900000016
president,Alabama,2004,general,Mobile Register ,619,Unknown,33,Unknown,22.0,59.0,19.0,37.09969789,62.90030211,-5.599697890000002,5.599697890000002
president,Alabama,2004,general,ARG ,699,Unknown,47,Unknown,40.0,54.0,6.0,37.09969789,62.90030211,5.900302109999998,-5.900302109999998
president,Alabama,2004,general,Rasmussen ,527,Unknown,49,Unknown,42.0,53.0,5.0,37.09969789,62.90030211,7.400302109999998,-7.400302109999998
president,Alabama,2004,general,Capital Survey ,585,Unknown,63,Unknown,34.0,54.0,12.0,37.09969789,62.90030211,2.9003021099999984,-2.9003021099999984
president,Alabama,2004,general,SUSA ,698,Unknown,71,Unknown,37.0,58.0,5.0,37.09969789,62.90030211,2.4003021099999984,-2.4003021099999984
president,Alabama,2004,general,Capital Survey ,689,Unknown,97,Unknown,34.0,56.0,10.0,37.09969789,62.90030211,1.9003021099999984,-1.9003021099999984
president,Alabama,2004,general,SUSA ,840,Unknown,182,Unknown,36.0,55.0,9.0,37.09969789,62.90030211,3.4003021099999984,-3.4003021099999984
president,Arkansas,2004,general,SurveyUSA ,649,Unknown,1,Unknown,46.0,51.0,3.0,45.06372648,54.93627352,2.4362735200000003,-2.4362735200000003
president,Arkansas,2004,general,SurveyUSA ,745,Unknown,2,Unknown,48.0,48.0,4.0,45.06372648,54.93627352,4.93627352,-4.93627352
president,Arkansas,2004,general,Mason-Dixon ,724,Unknown,4,Unknown,43.0,51.0,6.0,45.06372648,54.93627352,0.9362735200000003,-0.9362735200000003
president,Arkansas,2004,general,SurveyUSA ,748,Unknown,8,Unknown,45.0,51.0,4.0,45.06372648,54.93627352,1.9362735200000003,-1.9362735200000003
president,Arkansas,2004,general,Univ Arkansas ,717,Unknown,13,Unknown,44.0,53.0,3.0,45.06372648,54.93627352,0.4362735200000003,-0.4362735200000003
president,Arkansas,2004,general,AR News/Op Res,600,Unknown,13,Unknown,48.0,48.0,4.0,45.06372648,54.93627352,4.93627352,-4.93627352
president,Arkansas,2004,general,SurveyUSA ,716,Unknown,16,Unknown,46.0,51.0,3.0,45.06372648,54.93627352,2.4362735200000003,-2.4362735200000003
president,Arkansas,2004,general,Zogby ,603,Unknown,22,Unknown,45.0,46.0,9.0,45.06372648,54.93627352,4.43627352,-4.43627352
president,Arkansas,2004,general,AR News/Op Res,602,Unknown,27,Unknown,43.0,52.0,5.0,45.06372648,54.93627352,0.4362735200000003,-0.4362735200000003
president,Arkansas,2004,general,SUSA ,678,Unknown,34,Unknown,44.0,53.0,3.0,45.06372648,54.93627352,0.4362735200000003,-0.4362735200000003
president,Arkansas,2004,general,Rasmussen ,600,Unknown,38,Unknown,44.0,51.0,5.0,45.06372648,54.93627352,1.4362735200000003,-1.4362735200000003
president,Arkansas,2004,general,ARG ,699,Unknown,46,Unknown,45.0,48.0,7.0,45.06372648,54.93627352,3.4362735200000003,-3.4362735200000003
president,Arkansas,2004,general,Zogby/WSJ** ,673,Unknown,60,Unknown,45.9,47.6,6.5,45.06372648,54.93627352,4.086273519999999,-4.086273519999999
president,Arkansas,2004,general,SurveyUSA ,666,Unknown,72,Unknown,47.0,48.0,5.0,45.06372648,54.93627352,4.43627352,-4.43627352
president,Arkansas,2004,general,Zogby/WSJ** ,608,Unknown,73,Unknown,48.2,45.6,6.199999999999996,45.06372648,54.93627352,6.2362735199999975,-6.2362735199999975
president,Arkansas,2004,general,Zogby/WSJ** ,603,Unknown,95,Unknown,46.4,47.9,5.700000000000003,45.06372648,54.93627352,4.18627352,-4.18627352
president,Arkansas,2004,general,SurveyUSA ,645,Unknown,117,Unknown,47.0,49.0,4.0,45.06372648,54.93627352,3.9362735200000003,-3.9362735200000003
president,Arkansas,2004,general,Rasmussen ,600,Unknown,184,Unknown,45.0,45.0,10.0,45.06372648,54.93627352,4.93627352,-4.93627352
president,Arkansas,2004,general,SurveyUSA ,664,Unknown,201,Unknown,45.0,47.0,8.0,45.06372648,54.93627352,3.9362735200000003,-3.9362735200000003
president,Arizona,2004,general,SurveyUSA ,698,Unknown,3,Unknown,41.0,56.0,3.0,44.72650348,55.27349652,-2.226503479999998,2.226503479999998
president,Arizona,2004,general,Rasmussen ,600,Unknown,7,Unknown,45.0,50.0,5.0,44.72650348,55.27349652,2.773496520000002,-2.773496520000002
president,Arizona,2004,general,Arizona Republic ,699,Unknown,14,Unknown,40.0,47.0,13.0,44.72650348,55.27349652,1.773496520000002,-1.773496520000002
president,Arizona,2004,general,SurveyUSA ,715,Unknown,14,Unknown,43.0,54.0,3.0,44.72650348,55.27349652,-0.2265034799999981,0.2265034799999981
president,Arizona,2004,general,NAU ,512,Unknown,22,Unknown,44.0,49.0,7.0,44.72650348,55.27349652,2.773496520000002,-2.773496520000002
president,Arizona,2004,general,SurveyUSA ,698,Unknown,26,Unknown,41.0,55.0,4.0,44.72650348,55.27349652,-1.726503479999998,1.726503479999998
president,Arizona,2004,general,Arizona Republic ,701,Unknown,29,Unknown,38.0,48.0,14.0,44.72650348,55.27349652,0.2734965200000019,-0.2734965200000019
president,Arizona,2004,general,SurveyUSA ,730,Unknown,40,Unknown,43.0,54.0,3.0,44.72650348,55.27349652,-0.2265034799999981,0.2265034799999981
president,Arizona,2004,general,Mason-Dixon ,724,Unknown,49,Unknown,39.0,50.0,11.0,44.72650348,55.27349652,-0.2265034799999981,0.2265034799999981
president,Arizona,2004,general,ARG ,699,Unknown,49,Unknown,43.0,49.0,8.0,44.72650348,55.27349652,2.273496520000002,-2.273496520000002
president,Arizona,2004,general,Arizona Republic ,699,Unknown,58,Unknown,38.0,54.0,8.0,44.72650348,55.27349652,-2.726503479999998,2.726503479999998
president,Arizona,2004,general,Arizona Republic ,700,Unknown,93,Unknown,45.0,48.0,7.0,44.72650348,55.27349652,3.773496520000002,-3.773496520000002
president,Arizona,2004,general,SurveyUSA ,864,Unknown,111,Unknown,41.0,53.0,6.0,44.72650348,55.27349652,-0.7265034799999981,0.7265034799999981
president,Arizona,2004,general,Arizona Republic ,699,Unknown,142,Unknown,41.0,44.0,15.0,44.72650348,55.27349652,3.773496520000002,-3.773496520000002
president,Arizona,2004,general,SurveyUSA ,733,Unknown,229,Unknown,42.0,51.0,7.0,44.72650348,55.27349652,0.7734965200000019,-0.7734965200000019
president,California,2004,general,SurveyUSA ,864,Unknown,2,Unknown,54.0,43.0,3.0,55.04205939,44.95794061,0.4579406100000014,-0.4579406100000014
president,California,2004,general,Field Poll ,98,Unknown,6,Unknown,49.0,42.0,9.0,55.04205939,44.95794061,-1.5420593899999986,1.5420593899999986
president,California,2004,general,SurveyUSA ,840,Unknown,8,Unknown,53.0,44.0,3.0,55.04205939,44.95794061,-0.5420593899999986,0.5420593899999986
president,California,2004,general,Strategic Vision (R) ,896,Unknown,15,Unknown,50.0,41.0,9.0,55.04205939,44.95794061,-0.5420593899999986,0.5420593899999986
president,California,2004,general,LA Times ,1003,Unknown,15,Unknown,58.0,40.0,2.0,55.04205939,44.95794061,3.9579406100000014,-3.9579406100000014
president,California,2004,general,SurveyUSA ,802,Unknown,16,Unknown,53.0,43.0,4.0,55.04205939,44.95794061,-0.042059389999998587,0.042059389999998587
president,California,2004,general,Rasmussen ,951,Unknown,28,Unknown,53.0,42.0,5.0,55.04205939,44.95794061,0.4579406100000014,-0.4579406100000014
president,California,2004,general,SurveyUSA ,845,Unknown,29,Unknown,51.0,43.0,6.0,55.04205939,44.95794061,-1.0420593899999986,1.0420593899999986
president,California,2004,general,Field Poll ,685,Unknown,30,Unknown,49.0,40.0,11.0,55.04205939,44.95794061,-0.5420593899999986,0.5420593899999986
president,California,2004,general,SJSU ,699,Unknown,32,Unknown,48.0,42.0,10.0,55.04205939,44.95794061,-2.0420593899999986,2.0420593899999986
president,California,2004,general,Rasmussen ,939,Unknown,38,Unknown,53.0,40.0,7.0,55.04205939,44.95794061,1.4579406100000014,-1.4579406100000014
president,California,2004,general,Strategic Vision (R) ,896,Unknown,41,Unknown,48.0,43.0,9.0,55.04205939,44.95794061,-2.5420593899999986,2.5420593899999986
president,California,2004,general,LA Times ,949,Unknown,42,Unknown,53.0,40.0,7.0,55.04205939,44.95794061,1.4579406100000014,-1.4579406100000014
president,California,2004,general,PPIC ,148,Unknown,44,Unknown,51.0,39.0,10.0,55.04205939,44.95794061,0.9579406100000014,-0.9579406100000014
president,California,2004,general,ARG ,699,Unknown,50,Unknown,52.0,41.0,7.0,55.04205939,44.95794061,0.4579406100000014,-0.4579406100000014
president,California,2004,general,SUSA ,697,Unknown,55,Unknown,52.0,42.0,6.0,55.04205939,44.95794061,-0.042059389999998587,0.042059389999998587
president,California,2004,general,Rasmussen ,707,Unknown,60,Unknown,50.0,42.0,8.0,55.04205939,44.95794061,-1.0420593899999986,1.0420593899999986
president,California,2004,general,SUSA ,688,Unknown,76,Unknown,49.0,46.0,5.0,55.04205939,44.95794061,-3.5420593899999986,3.5420593899999986
president,California,2004,general,Strategic Vision* ,896,Unknown,83,Unknown,50.0,40.0,10.0,55.04205939,44.95794061,-0.042059389999998587,0.042059389999998587
president,California,2004,general,PPIC ,7,Unknown,83,Unknown,54.0,38.0,8.0,55.04205939,44.95794061,2.9579406100000014,-2.9579406100000014
president,California,2004,general,Field Poll ,732,Unknown,90,Unknown,51.0,40.0,9.0,55.04205939,44.95794061,0.4579406100000014,-0.4579406100000014
president,California,2004,general,SUSA ,810,Unknown,100,Unknown,53.0,41.0,6.0,55.04205939,44.95794061,0.9579406100000014,-0.9579406100000014
president,California,2004,general,PPIC ,17,Unknown,111,Unknown,49.0,38.0,13.0,55.04205939,44.95794061,0.4579406100000014,-0.4579406100000014
president,California,2004,general,SJSU ,707,Unknown,123,Unknown,46.0,38.0,16.0,55.04205939,44.95794061,-1.0420593899999986,1.0420593899999986
president,California,2004,general,SUSA ,734,Unknown,180,Unknown,46.0,45.0,9.0,55.04205939,44.95794061,-4.542059389999999,4.542059389999999
president,California,2004,general,Rasmussen ,602,Unknown,192,Unknown,51.0,40.0,9.0,55.04205939,44.95794061,0.4579406100000014,-0.4579406100000014
president,California,2004,general,Rasmussen ,550,Unknown,236,Unknown,53.0,44.0,3.0,55.04205939,44.95794061,-0.5420593899999986,0.5420593899999986
president,Colorado,2004,general,Survey USA ,804,Unknown,1,Unknown,47.0,50.0,3.0,47.63448485,52.36551515,0.8655151500000002,-0.8655151500000002
president,Colorado,2004,general,Zogby ,699,Unknown,1,Unknown,47.0,49.0,4.0,47.63448485,52.36551515,1.3655151500000002,-1.3655151500000002
president,Colorado,2004,general,Survey USA ,725,Unknown,3,Unknown,46.0,52.0,2.0,47.63448485,52.36551515,-0.6344848499999998,0.6344848499999998
president,Colorado,2004,general,Mason-Dixon ,724,Unknown,4,Unknown,43.0,50.0,7.0,47.63448485,52.36551515,-1.1344848499999998,1.1344848499999998
president,Colorado,2004,general,Rocky Mtn News ,600,Unknown,6,Unknown,42.0,51.0,7.0,47.63448485,52.36551515,-2.1344848499999998,2.1344848499999998
president,Colorado,2004,general,Survey USA ,695,Unknown,13,Unknown,45.0,52.0,3.0,47.63448485,52.36551515,-1.1344848499999998,1.1344848499999998
president,Colorado,2004,general,Ciruli Assoc ,699,Unknown,14,Unknown,42.0,48.0,10.0,47.63448485,52.36551515,-0.6344848499999998,0.6344848499999998
president,Colorado,2004,general,Rasmussen ,600,Unknown,15,Unknown,45.0,50.0,5.0,47.63448485,52.36551515,-0.13448484999999977,0.13448484999999977
president,Colorado,2004,general,CNN/USAT/Gallup ,765,Unknown,16,Unknown,45.0,51.0,4.0,47.63448485,52.36551515,-0.6344848499999998,0.6344848499999998
president,Colorado,2004,general,Mason-Dixon ,729,Unknown,17,Unknown,43.0,49.0,8.0,47.63448485,52.36551515,-0.6344848499999998,0.6344848499999998
president,Colorado,2004,general,Rcky Mtn News ,511,Unknown,19,Unknown,42.0,47.0,11.0,47.63448485,52.36551515,-0.13448484999999977,0.13448484999999977
president,Colorado,2004,general,SurveyUSA ,697,Unknown,26,Unknown,44.0,52.0,4.0,47.63448485,52.36551515,-1.6344848499999998,1.6344848499999998
president,Colorado,2004,general,Gallup/CNN/USAT ,766,Unknown,27,Unknown,49.0,49.0,2.0,47.63448485,52.36551515,2.3655151500000002,-2.3655151500000002
president,Colorado,2004,general,Mason-Dixon ,729,Unknown,27,Unknown,41.0,50.0,9.0,47.63448485,52.36551515,-2.1344848499999998,2.1344848499999998
president,Colorado,2004,general,Rasmussen ,600,Unknown,34,Unknown,44.0,48.0,8.0,47.63448485,52.36551515,0.36551515000000023,-0.36551515000000023
president,Colorado,2004,general,SurveyUSA ,725,Unknown,40,Unknown,44.0,52.0,4.0,47.63448485,52.36551515,-1.6344848499999998,1.6344848499999998
president,Colorado,2004,general,Ciruli Assoc ,699,Unknown,45,Unknown,38.0,50.0,12.0,47.63448485,52.36551515,-3.6344848499999998,3.6344848499999998
president,Colorado,2004,general,Rasmussen ,600,Unknown,47,Unknown,45.0,46.0,9.0,47.63448485,52.36551515,1.8655151500000002,-1.8655151500000002
president,Colorado,2004,general,ARG ,699,Unknown,50,Unknown,45.0,46.0,9.0,47.63448485,52.36551515,1.8655151500000002,-1.8655151500000002
president,Colorado,2004,general,RMN/News 4 ,600,Unknown,50,Unknown,44.0,45.0,11.0,47.63448485,52.36551515,1.8655151500000002,-1.8655151500000002
president,Colorado,2004,general,Rasmussen ,600,Unknown,75,Unknown,47.0,47.0,6.0,47.63448485,52.36551515,2.3655151500000002,-2.3655151500000002
president,Colorado,2004,general,SurveyUSA ,721,Unknown,78,Unknown,47.0,47.0,6.0,47.63448485,52.36551515,2.3655151500000002,-2.3655151500000002
president,Colorado,2004,general,Rasmussen ,600,Unknown,201,Unknown,44.0,49.0,7.0,47.63448485,52.36551515,-0.13448484999999977,0.13448484999999977
president,Colorado,2004,general,RMN/News 4 ,511,Unknown,215,Unknown,40.0,49.0,11.0,47.63448485,52.36551515,-2.1344848499999998,2.1344848499999998
president,Connecticut,2004,general,Research 2000 ,699,Unknown,5,Unknown,52.0,42.0,6.0,55.27172807,44.72827193,-0.27172807000000176,0.27172807000000176
president,Connecticut,2004,general,Quinnipiac ,820,Unknown,35,Unknown,50.0,44.0,6.0,55.27172807,44.72827193,-2.2717280700000018,2.2717280700000018
president,Connecticut,2004,general,ARG ,699,Unknown,49,Unknown,54.0,39.0,7.0,55.27172807,44.72827193,2.2282719299999982,-2.2282719299999982
president,Florida,2004,general,Zogby ,700,Unknown,1,Unknown,48.0,48.0,4.0,47.4745438,52.5254562,2.5254562000000007,-2.5254562000000007
president,Florida,2004,general,ARG ,699,Unknown,1,Unknown,50.0,48.0,2.0,47.4745438,52.5254562,3.5254562000000007,-3.5254562000000007
president,Florida,2004,general,Quinnipiac ,108,Unknown,2,Unknown,43.0,51.0,6.0,47.4745438,52.5254562,-1.4745437999999993,1.4745437999999993
president,Florida,2004,general,SurveyUSA ,839,Unknown,2,Unknown,48.0,49.0,3.0,47.4745438,52.5254562,2.0254562000000007,-2.0254562000000007
president,Florida,2004,general,FOX News ,799,Unknown,2,Unknown,49.0,44.0,7.0,47.4745438,52.5254562,5.025456200000001,-5.025456200000001
president,Florida,2004,general,Rasmussen ,699,Unknown,2,Unknown,47.0,50.0,3.0,47.4745438,52.5254562,1.0254562000000007,-1.0254562000000007
